old_url,new_url,status,reason
https://securetools.app/,https://securetools.app/,no_redirect,The apex root becomes the Hub and must not redirect
https://securetools.app/about/,https://tools.securetools.app/about/,301,Preserve the existing Web Utilities path on the tools host
https://securetools.app/privacy/,https://tools.securetools.app/privacy/,301,Preserve the existing Web Utilities path on the tools host
https://securetools.app/tools/pdf/,https://tools.securetools.app/tools/pdf/,301,Preserve the existing Web Utilities path on the tools host
https://securetools.app/tools/pdf/images-to-pdf/,https://tools.securetools.app/tools/pdf/images-to-pdf/,301,Preserve the existing Web Utilities path on the tools host
https://securetools.app/tools/pdf/merge/,https://tools.securetools.app/tools/pdf/merge/,301,Preserve the existing Web Utilities path on the tools host
https://securetools.app/tools/pdf/split/,https://tools.securetools.app/tools/pdf/split/,301,Preserve the existing Web Utilities path on the tools host
https://securetools.app/tools/pdf/organize/,https://tools.securetools.app/tools/pdf/organize/,301,Preserve the existing Web Utilities path on the tools host
https://securetools.app/tools/pdf/to-images/,https://tools.securetools.app/tools/pdf/to-images/,301,Preserve the existing Web Utilities path on the tools host
https://securetools.app/tools/pdf/metadata/,https://tools.securetools.app/tools/pdf/metadata/,301,Preserve the existing Web Utilities path on the tools host
https://securetools.app/tools/image/,https://tools.securetools.app/tools/image/,301,Preserve the existing Web Utilities path on the tools host
https://securetools.app/tools/image/converter/,https://tools.securetools.app/tools/image/converter/,301,Preserve the existing Web Utilities path on the tools host
https://securetools.app/tools/image/resize/,https://tools.securetools.app/tools/image/resize/,301,Preserve the existing Web Utilities path on the tools host
https://securetools.app/tools/image/compress/,https://tools.securetools.app/tools/image/compress/,301,Preserve the existing Web Utilities path on the tools host
https://securetools.app/tools/image/metadata/,https://tools.securetools.app/tools/image/metadata/,301,Preserve the existing Web Utilities path on the tools host
https://securetools.app/tools/privacy/,https://tools.securetools.app/tools/privacy/,301,Preserve the existing Web Utilities path on the tools host
https://securetools.app/tools/scan/,https://tools.securetools.app/tools/scan/,301,Preserve the existing Web Utilities path on the tools host
https://securetools.app/tools/media/,https://tools.securetools.app/tools/media/,301,Preserve the existing Web Utilities path on the tools host
https://securetools.app/tools/image-to-pdf/,https://tools.securetools.app/tools/image-to-pdf/,301,Preserve the existing noindex legacy interstitial without combining path cleanup
